srcIP;Label;Nilai Entropy;Kemunculan Data;Max Entropy;;;;
10.0.0.1;1;0.33413208628167074;8;0.5210896782498619;;;;
10.0.0.2;1;0.5112188503407658;3;0.5210896782498619;;;;94761
10.0.0.1;1;0.3602012209808308;7;0.5210896782498619;;;;
10.0.0.2;1;0.5210896782498619;3;0.5210896782498619;;;;
10.0.0.2;1;0.3602012209808308;7;0.5210896782498619;;;;
10.0.0.1;1;0.5210896782498619;3;0.5210896782498619;;;;
10.0.0.1;1;-0.0;10;0.5210896782498619;;;;
10.0.0.1;1;-0.0;10;0.5210896782498619;;;;
10.0.0.1;1;-0.0;10;0.5210896782498619;;;;
10.0.0.1;1;0.44217935649972373;6;0.46438561897747244;;;;
10.0.0.2;1;0.5287712379549449;4;0.46438561897747244;;;;
10.0.0.1;1;0.13680278410054497;9;0.46438561897747244;;;;
10.0.0.2;1;0.33219280948873625;1;0.46438561897747244;;;;
10.0.0.1;1;-0.0;10;0.46438561897747244;;;;
10.0.0.1;1;0.13680278410054497;9;0.46438561897747244;;;;
10.0.0.2;1;0.33219280948873625;1;0.46438561897747244;;;;
10.0.0.1;1;0.2575424759098898;8;0.46438561897747244;;;;
10.0.0.2;1;0.46438561897747244;2;0.46438561897747244;;;;
10.0.0.2;1;0.5210896782498619;3;0.5210896782498619;;;;
10.0.0.1;1;0.3602012209808308;7;0.5210896782498619;;;;
10.0.0.1;1;0.13680278410054497;9;0.5210896782498619;;;;
10.0.0.2;1;0.33219280948873625;1;0.5210896782498619;;;;
10.0.0.1;1;-0.0;10;0.5210896782498619;;;;
10.0.0.1;1;0.2575424759098898;8;0.5210896782498619;;;;
10.0.0.2;1;0.46438561897747244;2;0.5210896782498619;;;;
10.0.0.2;1;0.5210896782498619;3;0.5210896782498619;;;;
10.0.0.1;1;0.3602012209808308;7;0.5210896782498619;;;;
10.0.0.2;1;0.13680278410054497;9;0.33219280948873625;;;;
10.0.0.1;1;0.33219280948873625;1;0.33219280948873625;;;;
10.0.0.2;1;0.5287712379549449;4;0.33219280948873625;;;;
10.0.0.1;1;0.44217935649972373;6;0.33219280948873625;;;;
10.0.0.2;1;0.13680278410054497;9;0.33219280948873625;;;;
10.0.0.1;1;0.33219280948873625;1;0.33219280948873625;;;;
10.0.0.1;1;-0.0;10;0.33219280948873625;;;;
10.0.0.1;1;0.13680278410054497;9;0.33219280948873625;;;;
10.0.0.2;1;0.33219280948873625;1;0.33219280948873625;;;;
10.0.0.1;1;-0.0;10;0.5210896782498619;;;;
10.0.0.1;1;0.5210896782498619;3;0.5210896782498619;;;;
10.0.0.2;1;0.3602012209808308;7;0.5210896782498619;;;;
10.0.0.2;1;0.44217935649972373;6;0.5210896782498619;;;;
10.0.0.1;1;0.5287712379549449;4;0.5210896782498619;;;;
10.0.0.1;1;0.5210896782498619;3;0.5210896782498619;;;;
10.0.0.2;1;0.3602012209808308;7;0.5210896782498619;;;;
10.0.0.2;1;0.5;5;0.5210896782498619;;;;
10.0.0.1;1;0.5;5;0.5210896782498619;;;;
10.0.0.1;1;0.44217935649972373;6;0.46438561897747244;;;;
10.0.0.2;1;0.5287712379549449;4;0.46438561897747244;;;;
10.0.0.2;1;0.13680278410054497;9;0.46438561897747244;;;;
10.0.0.1;1;0.33219280948873625;1;0.46438561897747244;;;;
10.0.0.2;1;0.46438561897747244;2;0.46438561897747244;;;;
10.0.0.1;1;0.2575424759098898;8;0.46438561897747244;;;;
10.0.0.1;1;0.13680278410054497;9;0.46438561897747244;;;;
10.0.0.2;1;0.33219280948873625;1;0.46438561897747244;;;;
10.0.0.1;1;0.2575424759098898;8;0.46438561897747244;;;;
10.0.0.2;1;0.46438561897747244;2;0.46438561897747244;;;;
10.0.0.1;1;-0.0;10;0.5210896782498619;;;;
10.0.0.2;1;0.46438561897747244;2;0.5210896782498619;;;;
10.0.0.1;1;0.2575424759098898;8;0.5210896782498619;;;;
10.0.0.1;1;0.5210896782498619;3;0.5210896782498619;;;;
10.0.0.2;1;0.3602012209808308;7;0.5210896782498619;;;;
10.0.0.2;1;-0.0;10;0.5210896782498619;;;;
10.0.0.2;1;-0.0;10;0.5210896782498619;;;;
10.0.0.2;1;0.44217935649972373;6;0.5210896782498619;;;;
10.0.0.1;1;0.5287712379549449;4;0.5210896782498619;;;;
10.0.0.1;1;-0.0;10;0.5210896782498619;;;;
10.0.0.1;1;-0.0;10;0.5210896782498619;;;;
10.0.0.1;1;0.46438561897747244;2;0.5210896782498619;;;;
10.0.0.2;1;0.2575424759098898;8;0.5210896782498619;;;;
10.0.0.2;1;0.3602012209808308;7;0.5210896782498619;;;;
10.0.0.1;1;0.5210896782498619;3;0.5210896782498619;;;;
10.0.0.2;1;0.13680278410054497;9;0.5287712379549449;;;;
10.0.0.1;1;0.33219280948873625;1;0.5287712379549449;;;;
10.0.0.2;1;-0.0;10;0.5287712379549449;;;;
10.0.0.1;1;0.13680278410054497;9;0.5287712379549449;;;;
10.0.0.2;1;0.33219280948873625;1;0.5287712379549449;;;;
10.0.0.1;1;0.44217935649972373;6;0.5287712379549449;;;;
10.0.0.2;1;0.5287712379549449;4;0.5287712379549449;;;;
10.0.0.1;1;-0.0;10;0.5287712379549449;;;;
10.0.0.1;1;0.5210896782498619;3;0.46438561897747244;;;;
10.0.0.2;1;0.3602012209808308;7;0.46438561897747244;;;;
10.0.0.2;1;0.46438561897747244;2;0.46438561897747244;;;;
10.0.0.1;1;0.2575424759098898;8;0.46438561897747244;;;;
10.0.0.1;1;0.5;5;0.46438561897747244;;;;
10.0.0.2;1;0.5;5;0.46438561897747244;;;;
10.0.0.2;1;0.44217935649972373;6;0.46438561897747244;;;;
10.0.0.1;1;0.5287712379549449;4;0.46438561897747244;;;;
10.0.0.2;1;0.2575424759098898;8;0.46438561897747244;;;;
10.0.0.1;1;0.46438561897747244;2;0.46438561897747244;;;;
10.0.0.1;1;-0.0;10;0.5287712379549449;;;;
10.0.0.1;1;0.13680278410054497;9;0.5287712379549449;;;;
10.0.0.2;1;0.33219280948873625;1;0.5287712379549449;;;;
10.0.0.2;1;0.33219280948873625;1;0.5287712379549449;;;;
10.0.0.1;1;0.13680278410054497;9;0.5287712379549449;;;;
10.0.0.1;1;0.5210896782498619;3;0.5287712379549449;;;;
10.0.0.2;1;0.3602012209808308;7;0.5287712379549449;;;;
10.0.0.2;1;0.44217935649972373;6;0.5287712379549449;;;;
10.0.0.1;1;0.5287712379549449;4;0.5287712379549449;;;;
10.0.0.2;0;0.5287712379549449;4;-0.0;;;;
10.0.0.1;0;0.44217935649972373;6;-0.0;;;;
10.0.0.1;1;-0.0;10;-0.0;;;;
10.0.0.2;0;0.5;5;-0.0;;;;
10.0.0.1;0;0.5;5;-0.0;;;;
